time,Import T1 kWh,Import T2 kWh,Export T1 kWh,Export T2 kWh
2023-09-05 02:00,6652.332,8981.976,1006.894,2287.030
2023-09-05 02:15,6652.395,8981.976,1006.894,2287.030
2023-09-05 02:30,6652.452,8981.976,1006.894,2287.030
2023-09-05 02:45,6652.489,8981.976,1006.894,2287.030
2023-09-05 03:00,6652.554,8981.976,1006.894,2287.030
2023-09-05 03:15,6652.621,8981.976,1006.894,2287.030
2023-09-05 03:30,6652.682,8981.976,1006.894,2287.030
2023-09-05 03:45,6652.746,8981.976,1006.894,2287.030
2023-09-05 04:00,6652.798,8981.976,1006.894,2287.030
2023-09-05 04:15,6652.835,8981.976,1006.894,2287.030
2023-09-05 04:30,6652.884,8981.976,1006.894,2287.030
2023-09-05 04:45,6652.925,8981.976,1006.894,2287.030
2023-09-05 05:00,6652.979,8981.976,1006.894,2287.030
2023-09-05 05:15,6653.048,8981.976,1006.894,2287.030
2023-09-05 05:30,6653.108,8981.976,1006.894,2287.030
2023-09-05 05:45,6653.166,8981.976,1006.894,2287.030
2023-09-05 06:00,6653.229,8981.976,1006.894,2287.030
2023-09-05 06:15,6653.275,8981.976,1006.894,2287.030
2023-09-05 06:30,6653.429,8981.976,1006.894,2287.030
2023-09-05 06:45,6653.486,8981.976,1006.894,2287.030
2023-09-05 07:00,6653.548,8981.976,1006.894,2287.030
2023-09-05 07:15,6653.549,8982.072,1006.894,2287.030
2023-09-05 07:30,6653.549,8982.213,1006.894,2287.030
2023-09-05 07:45,6653.549,8982.247,1006.894,2287.108
2023-09-05 08:00,6653.549,8982.247,1006.894,2287.272
2023-09-05 08:15,6653.549,8982.247,1006.894,2287.494
2023-09-05 08:30,6653.549,8982.247,1006.894,2287.772
2023-09-05 08:45,6653.549,8982.247,1006.894,2288.053
2023-09-05 09:00,6653.549,8982.247,1006.894,2288.373
2023-09-05 09:15,6653.549,8982.247,1006.894,2288.690
2023-09-05 09:30,6653.549,8982.247,1006.894,2289.027
2023-09-05 09:45,6653.549,8982.247,1006.894,2289.375
2023-09-05 10:00,6653.549,8982.247,1006.894,2289.751
2023-09-05 10:15,6653.549,8982.247,1006.894,2290.125
2023-09-05 10:30,6653.549,8982.247,1006.894,2290.533
2023-09-05 10:45,6653.549,8982.247,1006.894,2290.920
2023-09-05 11:00,6653.549,8982.247,1006.894,2291.315
2023-09-05 11:15,6653.549,8982.247,1006.894,2291.678
2023-09-05 11:30,6653.549,8982.247,1006.894,2292.045
2023-09-05 11:45,6653.549,8982.247,1006.894,2292.375
2023-09-05 12:00,6653.549,8982.727,1006.894,2292.442
2023-09-05 12:15,6653.549,8982.780,1006.894,2292.652
2023-09-05 12:30,6653.549,8982.780,1006.894,2292.962
2023-09-05 12:45,6653.549,8982.780,1006.894,2293.250
2023-09-05 13:00,6653.549,8982.780,1006.894,2293.544
2023-09-05 13:15,6653.549,8982.780,1006.894,2293.782
2023-09-05 13:30,6653.549,8982.780,1006.894,2293.903
2023-09-05 13:45,6653.549,8982.780,1006.894,2293.957
2023-09-05 14:00,6653.549,8982.780,1006.894,2293.980
2023-09-05 14:15,6653.549,8982.793,1006.894,2294.008
2023-09-05 14:30,6653.549,8982.831,1006.894,2294.030
2023-09-05 14:45,6653.549,8983.004,1006.894,2294.108
2023-09-05 15:00,6653.549,8983.315,1006.894,2294.142
2023-09-05 15:15,6653.549,8983.315,1006.894,2294.226
2023-09-05 15:30,6653.549,8983.466,1006.894,2294.253
